                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65986,                 1.0563,                0.85611,                0.43706,                 0.5317,                0.46244,                0.40263,                0.45697,                 1.6037,                0.68644,               0.007624,               0.007624,               0.007624
                     38,                0.65922,                 1.0504,                0.85315,                0.47202,                0.52981,                0.47194,                0.41259,                0.45647,                 1.6104,                0.68263,               0.007558,               0.007558,               0.007558
                     39,                0.65646,                  1.028,                0.85545,                0.44769,                0.55019,                0.47343,                0.41458,                0.45178,                  1.646,                0.68003,               0.007492,               0.007492,               0.007492
                     40,                0.66101,                 1.0347,                 0.8521,                0.46926,                0.53049,                0.47781,                0.41695,                 0.4471,                 1.6251,                0.68158,               0.007426,               0.007426,               0.007426
                     41,                0.65544,                 1.0214,                0.85492,                 0.4421,                0.54741,                0.47113,                0.41056,                0.45427,                 1.6463,                0.68318,                0.00736,                0.00736,                0.00736
                     42,                0.65193,                 1.0047,                0.85306,                0.48409,                 0.5131,                0.48123,                0.42393,                0.45833,                 1.6357,                0.68562,               0.007294,               0.007294,               0.007294
                     43,                0.64184,                0.99665,                0.84875,                0.46619,                0.52869,                0.48671,                0.42586,                0.45396,                 1.6074,                0.68264,               0.007228,               0.007228,               0.007228
                     44,                0.63546,                 1.0007,                0.84853,                0.44972,                0.53894,                0.47918,                 0.4195,                0.45183,                 1.5587,                0.68444,               0.007162,               0.007162,               0.007162
                     45,                0.64094,                0.96142,                0.84593,                0.46009,                0.54289,                0.47937,                0.42033,                0.45226,                 1.6184,                0.68496,               0.007096,               0.007096,               0.007096
                     46,                0.64122,                0.96988,                0.85499,                0.47256,                0.53179,                0.48882,                0.42656,                0.44719,                 1.6122,                0.68232,                0.00703,                0.00703,                0.00703
                     47,                0.63147,                   0.95,                0.84824,                0.44943,                0.56092,                0.48508,                0.42315,                0.44872,                 1.5994,                0.68333,               0.006964,               0.006964,               0.006964
                     48,                 0.6405,                0.93987,                0.84978,                0.45155,                0.55029,                0.48106,                0.41906,                0.44153,                 1.5738,                0.68135,               0.006898,               0.006898,               0.006898
                     49,                0.62932,                0.92437,                0.84506,                0.44195,                0.54011,                0.48211,                0.42199,                0.44104,                 1.5394,                0.68022,               0.006832,               0.006832,               0.006832
                     50,                0.62281,                0.92009,                0.84476,                0.44887,                0.53598,                0.48403,                0.42525,                0.44175,                 1.5461,                0.67986,               0.006766,               0.006766,               0.006766
                     51,                0.62852,                0.91878,                0.84386,                0.43096,                 0.5412,                0.48305,                0.42406,                 0.4455,                 1.5776,                0.68064,                 0.0067,                 0.0067,                 0.0067
                     52,                0.62594,                0.90515,                0.84678,                0.43843,                0.53885,                0.47925,                 0.4209,                0.44655,                  1.644,                0.68166,               0.006634,               0.006634,               0.006634
                     53,                0.62193,                0.89971,                0.84197,                0.43892,                0.56018,                 0.4808,                0.41997,                0.44463,                 1.6488,                 0.6806,               0.006568,               0.006568,               0.006568
                     54,                0.62056,                0.90008,                  0.846,                0.44613,                0.56193,                0.48084,                0.42177,                0.44444,                 1.6389,                 0.6803,               0.006502,               0.006502,               0.006502
                     55,                  0.618,                0.89103,                0.84128,                0.44431,                 0.5538,                0.48115,                0.42058,                0.44496,                  1.643,                0.68073,               0.006436,               0.006436,               0.006436
                     56,                0.61654,                0.88853,                0.84185,                0.44427,                0.55206,                 0.4789,                 0.4196,                0.44381,                  1.621,                0.68043,                0.00637,                0.00637,                0.00637
