                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65147,                0.94916,                 0.8733,                0.54276,                0.61244,                0.57328,                0.50036,                0.62394,                 1.2741,                0.94749,               0.007624,               0.007624,               0.007624
                     38,                0.63892,                0.94128,                0.86769,                0.60396,                0.58907,                0.60226,                0.52895,                0.60061,                  1.207,                0.94167,               0.007558,               0.007558,               0.007558
                     39,                0.63435,                0.91975,                0.86577,                0.56651,                0.63072,                0.59636,                0.52537,                0.60746,                 1.2131,                 0.9398,               0.007492,               0.007492,               0.007492
                     40,                0.63081,                0.92315,                0.86821,                0.52715,                 0.6133,                0.57946,                0.50891,                0.63442,                 1.2968,                0.95937,               0.007426,               0.007426,               0.007426
                     41,                0.63161,                0.91348,                0.86506,                0.55183,                0.58334,                0.56456,                0.49431,                0.63097,                 1.3242,                0.95124,                0.00736,                0.00736,                0.00736
                     42,                0.62593,                0.91044,                0.86824,                0.59621,                0.59587,                0.60815,                0.53466,                0.60906,                 1.1699,                0.94334,               0.007294,               0.007294,               0.007294
                     43,                0.62215,                 0.8774,                0.86591,                0.59392,                0.59495,                0.59952,                0.52674,                0.60884,                 1.2744,                0.93669,               0.007228,               0.007228,               0.007228
                     44,                0.62444,                0.87255,                0.86706,                0.55319,                0.60633,                0.58318,                0.51378,                0.61618,                 1.2541,                0.94359,               0.007162,               0.007162,               0.007162
                     45,                0.61973,                0.86642,                0.85895,                0.55217,                0.62182,                0.57982,                0.51029,                0.58747,                 1.2276,                0.93366,               0.007096,               0.007096,               0.007096
                     46,                0.62182,                0.85229,                0.86257,                0.57586,                0.56169,                0.57139,                0.50723,                0.61499,                 1.3543,                 0.9467,                0.00703,                0.00703,                0.00703
                     47,                0.62076,                0.86073,                0.85616,                0.59769,                 0.5949,                0.59577,                0.52579,                0.59938,                 1.2091,                0.93899,               0.006964,               0.006964,               0.006964
                     48,                0.60821,                0.84682,                0.85805,                0.56531,                0.60903,                0.59562,                0.52647,                0.59042,                 1.2319,                0.93823,               0.006898,               0.006898,               0.006898
                     49,                0.61977,                0.83427,                0.86368,                0.56521,                0.62079,                0.59539,                0.52747,                0.59528,                 1.2415,                0.94083,               0.006832,               0.006832,               0.006832
                     50,                0.61047,                0.83009,                0.85729,                0.59513,                0.58896,                0.60012,                0.53155,                0.59454,                 1.2188,                0.94414,               0.006766,               0.006766,               0.006766
                     51,                0.61061,                0.81434,                0.85748,                0.58047,                0.61043,                0.60718,                 0.5411,                 0.5949,                 1.1893,                0.94182,                 0.0067,                 0.0067,                 0.0067
                     52,                0.60691,                0.80403,                0.86301,                0.60065,                 0.6169,                0.61436,                0.54321,                0.60539,                  1.164,                0.94763,               0.006634,               0.006634,               0.006634
                     53,                0.60659,                0.80398,                0.85618,                0.58552,                 0.6197,                0.61019,                0.53863,                0.59197,                 1.2103,                0.93966,               0.006568,               0.006568,               0.006568
                     54,                0.59838,                0.79478,                0.85197,                 0.6201,                0.58674,                0.61188,                0.54262,                0.57752,                 1.1835,                0.93319,               0.006502,               0.006502,               0.006502
                     55,                0.60165,                 0.7892,                0.85556,                0.57002,                0.59394,                0.59749,                0.52781,                 0.5896,                 1.2366,                0.94165,               0.006436,               0.006436,               0.006436
                     56,                0.60452,                0.78507,                0.85672,                0.57365,                0.60273,                0.59535,                0.52825,                0.57615,                 1.2097,                0.93709,                0.00637,                0.00637,                0.00637
                     57,                0.59624,                  0.778,                0.85358,                 0.5758,                0.63459,                0.61203,                0.54234,                0.58096,                 1.1725,                0.94093,               0.006304,               0.006304,               0.006304
                     58,                0.58446,                 0.7448,                0.84849,                0.60292,                0.59018,                0.60018,                0.53261,                0.57647,                 1.2159,                0.93862,               0.006238,               0.006238,               0.006238
